pair,speaker,condition,round,trial,begin,end,duration_ms,duration_m,director,accuracy,target,num_words,num_content_words,num_lex_align,num_gestures,num_iconic_gestures,num_deictic_gestures,num_representational_gestures,num_other_gestures,num_gestural_align
1,B,Sym,6,6_12,1256485,1261876,5391,0.08985,B,1,1,5,2,1,1,0,1,1,0,0
1,A,Sym,6,6_13,1261976,1269848,7872,0.1312,A,1,16,13,4,0,4,2,2,4,0,2
1,B,Sym,6,6_13,1261976,1269848,7872,0.1312,A,1,16,4,0,0,0,0,0,0,0,0
1,A,Sym,6,6_14,1269948,1275825,5877,0.09795,B,1,5,6,1,0,0,0,0,0,0,0
1,B,Sym,6,6_14,1269948,1275825,5877,0.09795,B,1,5,4,1,0,0,0,0,0,0,0
1,A,Sym,6,6_15,1275925,1282788,6863,0.11438333333333334,A,1,12,5,1,1,0,0,0,0,0,0
1,B,Sym,6,6_15,1275925,1282788,6863,0.11438333333333334,A,1,12,5,1,0,0,0,0,0,0,0
1,A,Sym,6,6_16,1282888,1288401,5513,0.09188333333333333,B,1,15,4,1,0,0,0,0,0,0,0
1,B,Sym,6,6_16,1282888,1288401,5513,0.09188333333333333,B,1,15,8,2,2,0,0,0,0,0,0
2,A,Asym,1,1_1,1000,75664,74664,1.2444,A,1,9,136,65,0,11,11,0,11,0,0
2,B,Asym,1,1_1,1000,75664,74664,1.2444,A,1,9,68,32,1,0,0,0,0,0,0
2,A,Asym,1,1_2,75998,109343,33345,0.55575,B,1,6,22,9,0,0,0,0,0,0,0
2,B,Asym,1,1_2,75998,109343,33345,0.55575,B,1,6,49,23,0,5,4,0,4,1,0
2,A,Asym,1,1_3,109661,151951,42290,0.7048333333333333,A,1,15,55,24,0,4,4,0,4,0,0
2,B,Asym,1,1_3,109661,151951,42290,0.7048333333333333,A,1,15,46,14,2,0,0,0,0,0,0
2,A,Asym,1,1_4,152265,169056,16791,0.27985,B,1,14,10,5,0,1,1,0,1,0,0
2,B,Asym,1,1_4,152265,169056,16791,0.27985,B,1,14,22,9,0,1,1,0,1,0,0
2,A,Asym,1,1_5,169363,190792,21429,0.35714999999999997,A,1,13,37,18,0,2,2,0,2,0,0
