pair,label,target,speaker_1,round_1,trial_1,turn_1,start_1,end_1,duration_1,turn_id_1,speaker_2,round_2,trial_2,turn_2,start_2,end_2,duration_2,turn_id_2,length,freq,pos_seq,n_fribbles,n_shared_expressions,shared_expression
45,spijker,12,A,4,4_5,403,1087.965,1089.501,1.5360000000000582,25838,B,5,5_14,498,1341.962,1343.578,1.6159999999999854,25934,1,6,NOUN,1,3,"['spijker', 'de spijker', 'met de spijker']"
45,spijker,12,B,5,5_14,498,1341.962,1343.578,1.6159999999999854,25934,A,6,6_13,552,1475.523,1476.594,1.07100000000014,25989,1,6,NOUN,1,3,"['spijker', 'de spijker', 'met de spijker']"
45,armp,13,A,1,1_11,131,373.769,375.799,2.0299999999999727,25565,B,2,2_16,302,824.548,828.85,4.302000000000021,25736,1,4,NOUN,1,2,"['twee armp', 'armp']"
45,schild,13,A,1,1_11,127,368.226,371.146,2.920000000000016,25561,B,2,2_16,301,820.614,824.508,3.8940000000000055,25735,1,6,NOUN,1,1,['schild']
45,schild,13,B,2,2_16,301,820.614,824.508,3.8940000000000055,25735,A,3,3_13,371,995.951,997.574,1.6229999999999336,25805,1,6,NOUN,1,1,['schild']
45,schild,13,A,3,3_13,371,995.951,997.574,1.6229999999999336,25805,B,4,4_8,413,1118.788,1123.07,4.281999999999925,25848,1,6,NOUN,1,1,['schild']
45,schild,13,B,4,4_8,413,1118.788,1123.07,4.281999999999925,25848,A,5,5_9,484,1297.757,1300.339,2.58199999999988,25920,1,6,NOUN,1,1,['schild']
45,schild,13,A,5,5_9,484,1297.757,1300.339,2.58199999999988,25920,B,6,6_4,522,1396.693,1398.432,1.7390000000000327,25958,1,6,NOUN,1,1,['schild']
45,onderzetter,13,A,3,3_13,370,991.99,995.748,3.758000000000038,25804,B,4,4_8,413,1118.788,1123.07,4.281999999999925,25848,1,5,NOUN,1,2,"['onderzetter', 'de onderzetter']"
45,onderzetter,13,B,4,4_8,413,1118.788,1123.07,4.281999999999925,25848,A,5,5_9,483,1295.545,1297.722,2.1769999999999072,25919,1,5,NOUN,1,2,"['onderzetter', 'de onderzetter']"
45,onderzetter,13,A,5,5_9,483,1295.545,1297.722,2.1769999999999072,25919,B,6,6_4,523,1398.467,1399.521,1.05399999999986,25959,1,5,NOUN,1,2,"['onderzetter', 'de onderzetter']"
45,zeshoekig,9,A,1,1_3,50,125.647,135.35,9.702999999999989,25483,B,2,2_6,223,627.439,629.28,1.841000000000008,25657,1,6,ADJ,1,1,['zeshoekig']
45,zeshoekig,9,B,2,2_6,223,627.439,629.28,1.841000000000008,25657,A,3,3_15,381,1017.89,1019.295,1.4049999999999727,25815,1,6,ADJ,1,1,['zeshoekig']
45,zeshoekig,9,A,3,3_15,381,1017.89,1019.295,1.4049999999999727,25815,B,4,4_6,405,1094.1,1104.712,10.61200000000008,25840,1,6,ADJ,1,1,['zeshoekig']
45,zeshoekig,9,B,4,4_6,405,1094.1,1104.712,10.61200000000008,25840,A,5,5_3,461,1236.311,1238.4,2.089000000000169,25897,1,6,ADJ,1,1,['zeshoekig']
45,zeshoekig,9,A,5,5_3,461,1236.311,1238.4,2.089000000000169,25897,B,6,6_8,535,1434.101,1441.09,6.988999999999805,25971,1,6,ADJ,1,1,['zeshoekig']
45,feesthoed,2,B,3,3_14,374,1001.368,1003.106,1.7379999999999427,25808,A,3,3_14,375,1004.002,1004.628,0.62600000000009,25809,1,6,NOUN,1,2,"['de feesthoed', 'feesthoed']"
45,feesthoed,2,A,3,3_14,375,1004.002,1004.628,0.62600000000009,25809,B,5,5_16,510,1362.945,1364.702,1.7570000000000618,25946,1,6,NOUN,1,2,"['de feesthoed', 'feesthoed']"
45,feesthoed,2,B,5,5_16,510,1362.945,1364.702,1.7570000000000618,25946,A,5,5_16,511,1365.277,1366.98,1.7029999999999743,25947,1,6,NOUN,1,2,"['de feesthoed', 'feesthoed']"
46,drukken,3,B,1,1_1,25,39.604,41.333,1.7289999999999992,26026,A,1,1_1,26,41.237,46.631,5.393999999999998,26027,1,3,VERB,1,2,"['knop drukken', 'drukken']"
46,drukken,3,A,1,1_1,26,41.237,46.631,5.393999999999998,26027,B,1,1_1,31,50.934,52.345,1.4110000000000014,26032,1,3,VERB,1,2,"['knop drukken', 'drukken']"
46,kubus,3,A,1,1_1,13,22.161,22.851,0.6899999999999977,26014,B,1,1_1,17,28.127,29.181,1.054000000000002,26018,1,11,NOUN,3,1,['kubus']
46,rood,3,B,1,1_1,3,4.214,5.045,0.8309999999999995,26004,A,1,1_1,26,41.237,46.631,5.393999999999998,26027,1,2,ADJ,1,1,['rood']
46,een driehoek,3,A,1,1_1,19,32.906,33.821,0.9149999999999991,26020,B,2,2_14,274,615.009,617.992,2.9829999999999472,26276,2,2,DET NOUN,1,1,['een driehoek']
46,strijkijzer,3,B,2,2_14,273,610.506,614.989,4.483000000000061,26275,A,3,3_5,307,692.733,694.786,2.0529999999999973,26310,1,5,NOUN,1,2,"['strijkijzer', 'strijkijzer aan de onderkant']"
46,strijkijzer,3,A,3,3_5,307,692.733,694.786,2.0529999999999973,26310,B,4,4_16,425,950.117,951.708,1.5910000000000082,26435,1,5,NOUN,1,2,"['strijkijzer', 'strijkijzer aan de onderkant']"
46,rok,15,B,1,1_15,195,418.308,419.537,1.228999999999985,26197,A,1,1_15,196,419.737,422.723,2.98599999999999,26198,1,4,NOUN,1,2,"['rok', 'soort rok']"
46,rok,15,A,1,1_15,196,419.737,422.723,2.98599999999999,26198,B,2,2_4,220,485.336,490.326,4.990000000000009,26222,1,4,NOUN,1,2,"['rok', 'soort rok']"
