round,trial,director,target,correct_answer,total_duration_seconds,pair,start_time_final,end_time_final
3,3_5,B,1,C,6.809,007,1049064,1055873
3,3_6,A,4,14,6.518,007,1056053,1062571
3,3_7,B,7,H,8.385,007,1062742,1071127
3,3_8,A,16,9,13.928,007,1071300,1085228
3,3_9,B,13,O,10.763,007,1085395,1096158
3,3_10,A,2,3,31.769,007,1096338,1128107
3,3_11,B,11,F,10.391,007,1128283,1138674
3,3_12,A,6,10,8.042,007,1138842,1146884
3,3_13,B,5,E,10.09,007,1147066,1157156
3,3_14,A,8,13,7.414,007,1157325,1164739
3,3_15,B,3,P,4.396,007,1164915,1169311
3,3_16,A,14,4,7.944,007,1169485,1177429
4,4_1,B,10,F,7.27,007,1177609,1184879
4,4_2,A,15,6,5.914,007,1185049,1190963
4,4_3,B,6,I,4.933,007,1191137,1196070
4,4_4,A,1,4,7.395,007,1196242,1203637
4,4_5,B,16,K,8.039,007,1203815,1211854
4,4_6,A,13,13,18.199,007,1212022,1230221
4,4_7,B,12,H,5.239,007,1230388,1235627
4,4_8,A,7,16,8.058,007,1235810,1243868
4,4_9,B,2,C,14.752,007,1244050,1258802
4,4_10,A,9,14,12.503,007,1258980,1271483
4,4_11,B,14,A,12.219,007,1271658,1283877
4,4_12,A,5,10,8.668,007,1284052,1292720
4,4_13,B,8,P,5.197,007,1292893,1298090
4,4_14,A,11,12,11.077,007,1298264,1309341
4,4_15,B,4,O,6.481,007,1309524,1316005
4,4_16,A,3,15,4.802,007,1316180,1320982
5,5_1,B,7,G,8.296,007,1321151,1329447
5,5_2,A,6,11,6.934,007,1329625,1336559
5,5_3,B,11,M,10.968,007,1336731,1347699
5,5_4,A,10,2,6.426,007,1347874,1354300
5,5_5,B,9,F,10.209,007,1354480,1364689
5,5_6,A,4,4,4.973,007,1364855,1369828
5,5_7,B,13,L,8.434,007,1370010,1378444
5,5_8,A,12,10,6.308,007,1378617,1384925
5,5_9,B,1,I,7.068,007,1385106,1392174
5,5_10,A,8,9,6.807,007,1392346,1399153
5,5_11,B,15,O,7.774,007,1399335,1407109
5,5_12,A,14,3,5.426,007,1407292,1412718
5,5_13,B,5,C,5.986,007,1412897,1418883
